Date,County,State,Vehicle Primary Use,Battery Electric Vehicles (BEVs),Plug-In Hybrid Electric Vehicles (PHEVs),Electric Vehicle (EV) Total,Non-Electric Vehicle Total,Total Vehicles,Percent Electric Vehicles
June 30 2023,Fairfax,VA,Truck,1,0,1,87,88,1.14
July 31 2021,Grant,WA,Passenger,120,90,210,66895,67105,0.31
July 31 2020,Alameda,CA,Passenger,2,0,2,275,277,0.72
October 31 2019,Pima,AZ,Passenger,2,1,3,395,398,0.75
June 30 2021,Ferry,WA,Truck,0,0,0,3642,3642,0.00
November 30 2020,Newport,RI,Passenger,0,1,1,84,85,1.18
January 31 2023,Camden,NJ,Passenger,0,1,1,12,13,7.69
April 30 2021,Hampshire,MA,Passenger,1,0,1,8,9,11.11
May 31 2020,Douglas,WA,Passenger,69,40,109,27960,28069,0.39
December 31 2021,Okanogan,WA,Truck,0,0,0,16681,16681,0.00
October 31 2023,Maui,HI,Passenger,1,0,1,18,19,5.26
March 31 2018,Polk,FL,Passenger,1,0,1,63,64,1.56
January 31 2018,Montgomery,MD,Passenger,1,0,1,302,303,0.33
August 31 2022,Grant,WA,Truck,1,0,1,27983,27984,0.00
April 30 2021,Kitsap,WA,Truck,0,0,0,54552,54552,0.00
April 30 2020,Flathead,MT,Passenger,1,0,1,70,71,1.41
June 30 2022,Suffolk,MA,Passenger,0,1,1,22,23,4.35
December 31 2022,Palm Beach,FL,Passenger,1,1,2,49,51,3.92
December 31 2022,Kittitas,WA,Passenger,300,93,393,29536,29929,1.31
May 31 2020,Adams,WA,Truck,0,0,0,5216,5216,0.00
March 31 2022,Dorchester,SC,Passenger,1,0,1,65,66,1.52
November 30 2020,Lincoln,WA,Truck,0,0,0,4658,4658,0.00
April 30 2020,Calvert,MD,Passenger,0,2,2,89,91,2.20
January 31 2021,Bucks,PA,Passenger,1,0,1,21,22,4.55
August 31 2017,Prince William,VA,Passenger,0,3,3,266,269,1.12
July 31 2021,San Francisco,CA,Passenger,0,1,1,95,96,1.04
October 31 2021,Missoula,MT,Passenger,1,0,1,54,55,1.82
February 28 2022,Wilson,NC,Passenger,1,0,1,0,1,100.00
August 31 2021,Las Animas,CO,Passenger,1,0,1,0,1,100.00
January 31 2019,Jefferson,WA,Truck,0,0,0,9617,9617,0.00
September 30 2018,Whitman,WA,Passenger,20,32,52,22682,22734,0.23
October 31 2021,Sonoma,CA,Passenger,0,1,1,90,91,1.10
July 31 2020,Bradley,TN,Passenger,1,0,1,3,4,25.00
March 31 2022,Denton,TX,Passenger,1,0,1,70,71,1.41
February 28 2019,Wahkiakum,WA,Truck,0,0,0,1720,1720,0.00
November 30 2023,King,WA,Truck,959,2,961,169806,170767,0.56
January 31 2017,Grant,WA,Passenger,16,21,37,60384,60421,0.06
September 30 2021,Fresno,CA,Passenger,1,0,1,173,174,0.57
March 31 2022,Pima,AZ,Passenger,1,1,2,257,259,0.77
February 28 2022,Tarrant,TX,Passenger,2,0,2,143,145,1.38
September 30 2022,Washtenaw,MI,Passenger,0,1,1,28,29,3.45
February 28 2023,Lincoln,OR,Passenger,0,1,1,13,14,7.14
October 31 2019,Jefferson,WA,Passenger,210,126,336,25153,25489,1.32
November 30 2021,Clackamas,OR,Passenger,2,0,2,167,169,1.18
February 29 2020,Stevens,WA,Truck,0,0,0,18752,18752,0.00
July 31 2021,Meade,KY,Passenger,1,0,1,25,26,3.85
June 30 2017,Franklin,OH,Passenger,0,1,1,121,122,0.82
May 31 2022,Orange,CA,Passenger,5,3,8,393,401,2.00
July 31 2023,Harrison,MS,Passenger,1,0,1,30,31,3.23
February 28 2023,Chelan,WA,Truck,19,0,19,23142,23161,0.08
May 31 2022,Kauai,HI,Passenger,1,0,1,18,19,5.26
January 31 2023,Plaquemines,LA,Passenger,1,1,2,18,20,10.00
May 31 2022,Columbia,OR,Passenger,1,0,1,21,22,4.55
July 31 2022,Snohomish,WA,Truck,27,0,27,123473,123500,0.02
February 28 2023,Newport News,VA,Passenger,1,0,1,103,104,0.96
July 31 2018,Hennepin,MN,Passenger,1,0,1,106,107,0.93
September 30 2021,Douglas,NE,Passenger,1,1,2,51,53,3.77
March 31 2022,Contra Costa,CA,Passenger,0,3,3,249,252,1.19
May 31 2019,Oklahoma,OK,Passenger,0,1,1,124,125,0.80
June 30 2020,Sedgwick,KS,Passenger,1,1,2,96,98,2.04
March 31 2022,Placer,CA,Passenger,2,0,2,75,77,2.60
September 30 2023,Lee,AL,Passenger,1,0,1,12,13,7.69
March 31 2018,Essex,NJ,Passenger,1,0,1,13,14,7.14
January 31 2017,Spokane,WA,Truck,1,0,1,90423,90424,0.00
April 30 2022,Clallam,WA,Truck,1,0,1,21984,21985,0.00
April 30 2021,Contra Costa,CA,Passenger,3,4,7,277,284,2.46
April 30 2017,Saratoga,NY,Passenger,1,1,2,74,76,2.63
May 31 2020,Rockingham,NH,Passenger,1,0,1,26,27,3.70
January 31 2022,New York,NY,Passenger,1,0,1,37,38,2.63
September 30 2020,Solano,CA,Passenger,1,0,1,204,205,0.49
April 30 2017,San Mateo,CA,Passenger,0,1,1,160,161,0.62
July 31 2023,Sarpy,NE,Passenger,1,0,1,50,51,1.96
December 31 2023,Clark,WA,Passenger,7016,2589,9605,303704,313309,3.07
December 31 2017,Utah,UT,Passenger,0,1,1,139,140,0.71
October 31 2020,Broward,FL,Passenger,1,1,2,115,117,1.71
May 31 2019,Dakota,MN,Passenger,0,2,2,37,39,5.13
September 30 2022,Kitsap,WA,Passenger,2566,1109,3675,177568,181243,2.03
April 30 2023,Ferry,WA,Passenger,19,4,23,4347,4370,0.53
November 30 2019,Clark,WA,Truck,0,0,0,81270,81270,0.00
May 31 2020,Denver,CO,Passenger,1,0,1,117,118,0.85
July 31 2019,Ferry,WA,Truck,0,0,0,3581,3581,0.00
June 30 2020,Douglas,WA,Passenger,71,40,111,27999,28110,0.39
January 31 2022,Whitman,WA,Truck,0,0,0,8569,8569,0.00
November 30 2019,Ferry,WA,Truck,0,0,0,3582,3582,0.00
November 30 2019,Henrico,VA,Passenger,0,1,1,19,20,5.00
September 30 2018,Pima,AZ,Passenger,1,1,2,426,428,0.47
November 30 2023,Prince George's,MD,Passenger,3,1,4,98,102,3.92
June 30 2022,Suffolk,VA,Passenger,1,0,1,123,124,0.81
April 30 2022,Clark,WA,Passenger,3863,1691,5554,317684,323238,1.72
May 31 2022,Pend Oreille,WA,Passenger,16,11,27,9004,9031,0.30
May 31 2020,Cowlitz,WA,Truck,0,0,0,28756,28756,0.00
December 31 2020,District of Columbia,DC,Passenger,3,1,4,199,203,1.97
July 31 2017,Sumter,FL,Passenger,0,1,1,10,11,9.09
November 30 2021,Rockdale,GA,Passenger,1,0,1,6,7,14.29
February 28 2023,Wilson,TX,Passenger,0,1,1,3,4,25.00
July 31 2021,Lane,OR,Passenger,0,2,2,128,130,1.54
September 30 2021,Richland,SC,Passenger,0,1,1,138,139,0.72
June 30 2019,Clark,WA,Passenger,1538,926,2464,313814,316278,0.78
February 28 2017,Moore,NC,Passenger,0,1,1,210,211,0.47
May 31 2018,San Juan,WA,Truck,0,0,0,5699,5699,0.00
August 31 2020,Riverside,CA,Passenger,3,0,3,609,612,0.49
April 30 2019,Santa Cruz,CA,Passenger,1,0,1,41,42,2.38
May 31 2019,Travis,TX,Passenger,3,1,4,210,214,1.87
January 31 2018,Kitsap,WA,Passenger,706,402,1108,176387,177495,0.62
November 30 2020,Spokane,WA,Truck,0,0,0,100352,100352,0.00
July 31 2019,Hillsborough,FL,Passenger,0,1,1,199,200,0.50
March 31 2017,Maricopa,AZ,Passenger,2,1,3,1852,1855,0.16
June 30 2022,Multnomah,OR,Passenger,0,3,3,552,555,0.54
August 31 2022,Fairfax,VA,Passenger,7,3,10,615,625,1.60
October 31 2017,Pacific,WA,Truck,0,0,0,7521,7521,0.00
October 31 2018,Ferry,WA,Truck,0,0,0,3565,3565,0.00
October 31 2020,New York,NY,Passenger,1,0,1,56,57,1.75
August 31 2023,Whatcom,WA,Truck,66,0,66,42487,42553,0.16
January 31 2023,Grant,WA,Truck,5,0,5,28030,28035,0.02
June 30 2019,Wahkiakum,WA,Truck,0,0,0,1755,1755,0.00
November 30 2018,Ferry,WA,Passenger,3,2,5,4384,4389,0.11
June 30 2022,San Juan,WA,Passenger,513,157,670,14059,14729,4.55
April 30 2019,Harnett,NC,Passenger,1,1,2,220,222,0.90
February 28 2023,Carroll,MD,Passenger,0,1,1,21,22,4.55
September 30 2018,Marion,IN,Passenger,1,0,1,120,121,0.83
December 31 2017,Ramsey,MN,Passenger,1,0,1,40,41,2.44
July 31 2018,Montgomery,PA,Passenger,2,0,2,33,35,5.71
December 31 2017,Shelby,TN,Passenger,0,1,1,106,107,0.93
April 30 2021,Yakima,WA,Truck,0,0,0,61652,61652,0.00
April 30 2017,Pacific,WA,Truck,0,0,0,7464,7464,0.00
December 31 2017,Skamania,WA,Passenger,10,7,17,8588,8605,0.20
July 31 2022,Juneau,AK,Passenger,0,1,1,30,31,3.23
March 31 2023,Columbia,OR,Passenger,1,0,1,13,14,7.14
December 31 2020,Hawaii,HI,Passenger,1,0,1,58,59,1.69
May 31 2018,Kitsap,WA,Truck,1,0,1,53094,53095,0.00
April 30 2017,Pend Oreille,WA,Truck,0,0,0,5585,5585,0.00
January 31 2021,Island,WA,Truck,0,0,0,21385,21385,0.00
April 30 2022,Klickitat,WA,Passenger,100,55,155,15233,15388,1.01
April 30 2018,Juneau,AK,Passenger,0,1,1,45,46,2.17
January 31 2020,Kent,MI,Passenger,0,1,1,26,27,3.70
May 31 2019,New Haven,CT,Passenger,0,2,2,47,49,4.08
December 31 2020,Jones,GA,Passenger,1,0,1,1,2,50.00
September 30 2019,Lewis,WA,Passenger,107,101,208,59354,59562,0.35
April 30 2021,Franklin,WA,Passenger,109,95,204,61931,62135,0.33
February 28 2021,Jefferson,WA,Truck,0,0,0,9576,9576,0.00
September 30 2017,Mercer,NJ,Passenger,0,1,1,18,19,5.26
August 31 2023,Santa Barbara,CA,Passenger,1,0,1,64,65,1.54
May 31 2023,Allen,IN,Passenger,1,0,1,14,15,6.67
January 31 2017,Walla Walla,WA,Truck,0,0,0,13169,13169,0.00
December 31 2021,Escambia,FL,Passenger,0,1,1,143,144,0.69
February 28 2022,Williamson,TX,Passenger,1,2,3,92,95,3.16
February 28 2022,Placer,CA,Passenger,2,0,2,76,78,2.56
October 31 2023,Franklin,WA,Truck,7,0,7,20665,20672,0.03
September 30 2021,Cumberland,NC,Passenger,0,4,4,424,428,0.93
June 30 2022,Ventura,CA,Passenger,1,2,3,244,247,1.21
October 31 2023,Lincoln,WA,Truck,0,0,0,4777,4777,0.00
March 31 2018,Latah,ID,Passenger,0,1,1,81,82,1.22
May 31 2018,Lee,AL,Passenger,1,0,1,33,34,2.94
November 30 2023,DuPage,IL,Passenger,0,1,1,29,30,3.33
March 31 2019,Mercer,NJ,Passenger,0,1,1,20,21,4.76
August 31 2019,Clark,WA,Passenger,1647,959,2606,315502,318108,0.82
September 30 2020,Franklin,WA,Passenger,68,76,144,60916,61060,0.24
July 31 2018,Douglas,WA,Truck,0,0,0,11969,11969,0.00
June 30 2021,Hawaii,HI,Passenger,1,0,1,50,51,1.96
September 30 2022,Queens,NY,Passenger,1,0,1,42,43,2.33
October 31 2022,Charleston,SC,Passenger,2,2,4,64,68,5.88
March 31 2020,Snohomish,WA,Truck,0,0,0,123709,123709,0.00
January 31 2018,Gwinnett,GA,Passenger,0,1,1,84,85,1.18
April 30 2018,Grant,WA,Passenger,31,42,73,62799,62872,0.12
March 31 2021,Hudson,NJ,Passenger,1,0,1,43,44,2.27
June 30 2022,St. Louis,MO,Passenger,2,0,2,65,67,2.99
September 30 2019,Spartanburg,SC,Passenger,0,1,1,41,42,2.38
March 31 2021,Placer,CA,Passenger,2,0,2,83,85,2.35
June 30 2020,Walla Walla,WA,Passenger,73,62,135,35828,35963,0.38
March 31 2022,Charles,MD,Passenger,0,1,1,63,64,1.56
June 30 2019,Albemarle,VA,Passenger,1,0,1,24,25,4.00
August 31 2019,RÃ­o Grande,PR,Passenger,1,0,1,1,2,50.00
April 30 2020,Skamania,WA,Passenger,29,17,46,8609,8655,0.53
June 30 2017,Cowlitz,WA,Truck,0,0,0,27910,27910,0.00
December 31 2017,Travis,TX,Passenger,1,1,2,192,194,1.03
October 31 2020,Denton,TX,Passenger,1,0,1,87,88,1.14
August 31 2020,Walla Walla,WA,Passenger,81,65,146,35886,36032,0.41
August 31 2018,San Francisco,CA,Passenger,1,1,2,124,126,1.59
February 28 2023,San Bernardino,CA,Passenger,2,1,3,294,297,1.01
November 30 2023,Walla Walla,WA,Truck,9,0,9,13433,13442,0.07
June 30 2022,Miami-Dade,FL,Passenger,1,0,1,79,80,1.25
November 30 2023,Charleston,SC,Passenger,1,2,3,47,50,6.00
April 30 2018,Maui,HI,Passenger,1,0,1,58,59,1.69
November 30 2023,Bartow,GA,Passenger,0,1,1,3,4,25.00
February 29 2020,Island,WA,Passenger,401,264,665,63424,64089,1.04
November 30 2019,Columbia,WA,Passenger,3,2,5,2444,2449,0.20
September 30 2020,Montgomery,OH,Passenger,0,1,1,48,49,2.04
August 31 2021,Frederick,MD,Passenger,1,1,2,66,68,2.94
March 31 2022,New York,NY,Passenger,1,0,1,37,38,2.63
June 30 2019,Mecklenburg,NC,Passenger,1,0,1,88,89,1.12
May 31 2023,Bartow,GA,Passenger,0,1,1,4,5,20.00
September 30 2023,Shelby,AL,Passenger,1,0,1,5,6,16.67
April 30 2022,Jefferson,WA,Passenger,415,210,625,24717,25342,2.47
August 31 2022,San Mateo,CA,Passenger,1,0,1,80,81,1.23
January 31 2022,Hawaii,HI,Passenger,1,0,1,42,43,2.33
November 30 2018,Kalamazoo,MI,Passenger,1,0,1,16,17,5.88
August 31 2021,Clallam,WA,Truck,1,0,1,22016,22017,0.00
June 30 2021,Contra Costa,CA,Passenger,2,3,5,258,263,1.90
December 31 2019,Eagle,CO,Passenger,1,0,1,7,8,12.50
February 28 2021,King,WA,Passenger,28223,8447,36670,1364447,1401117,2.62
November 30 2022,Klickitat,WA,Passenger,120,53,173,15101,15274,1.13
June 30 2018,Ventura,CA,Passenger,0,2,2,326,328,0.61
July 31 2019,Whitman,WA,Truck,0,0,0,8631,8631,0.00
November 30 2023,Asotin,WA,Truck,0,0,0,6496,6496,0.00
February 28 2022,Virginia Beach,VA,Passenger,2,0,2,560,562,0.36
December 31 2019,Pinellas,FL,Passenger,1,1,2,115,117,1.71
March 31 2019,Saratoga,NY,Passenger,1,0,1,57,58,1.72
May 31 2023,Spokane,WA,Passenger,2232,1064,3296,322574,325870,1.01
June 30 2017,Clark,WA,Truck,0,0,0,77642,77642,0.00
October 31 2017,Travis,TX,Passenger,1,1,2,196,198,1.01
August 31 2019,Kern,CA,Passenger,0,1,1,224,225,0.44
March 31 2018,Broward,FL,Passenger,0,1,1,133,134,0.75
May 31 2023,Santa Barbara,CA,Passenger,1,0,1,69,70,1.43
September 30 2023,Ray,MO,Passenger,0,1,1,0,1,100.00
August 31 2019,Kitsap,WA,Truck,1,0,1,54157,54158,0.00
July 31 2022,Okanogan,WA,Truck,1,0,1,16580,16581,0.01
May 31 2018,Lincoln,WA,Truck,0,0,0,4535,4535,0.00
May 31 2019,Douglas,WA,Passenger,56,36,92,28000,28092,0.33
November 30 2020,Santa Clara,CA,Passenger,6,2,8,285,293,2.73
December 31 2018,Yakima,WA,Truck,0,0,0,58843,58843,0.00
February 28 2022,Garfield,WA,Truck,0,0,0,997,997,0.00
October 31 2017,Palm Beach,FL,Passenger,0,2,2,93,95,2.11
January 31 2021,Thurston,WA,Truck,0,0,0,56438,56438,0.00
April 30 2021,Klickitat,WA,Truck,0,0,0,8245,8245,0.00
April 30 2023,Multnomah,OR,Passenger,1,2,3,445,448,0.67
December 31 2021,Wichita,TX,Passenger,1,0,1,44,45,2.22
August 31 2021,Howard,MD,Passenger,0,1,1,64,65,1.54
October 31 2019,Los Angeles,CA,Passenger,8,9,17,1095,1112,1.53
September 30 2022,Carroll,NH,Passenger,0,1,1,5,6,16.67
January 31 2018,Prince George,VA,Passenger,0,1,1,74,75,1.33
December 31 2019,Adams,WA,Truck,0,0,0,5197,5197,0.00
August 31 2022,Spartanburg,SC,Passenger,0,1,1,36,37,2.70
February 28 2023,Howard,MD,Passenger,0,2,2,53,55,3.64
February 28 2019,Thurston,WA,Truck,0,0,0,54903,54903,0.00
November 30 2022,Grant,WA,Truck,4,0,4,27968,27972,0.01
December 31 2021,Rockingham,NH,Passenger,1,0,1,19,20,5.00
August 31 2023,Tooele,UT,Passenger,1,0,1,8,9,11.11
September 30 2020,Thurston,WA,Passenger,1210,752,1962,197102,199064,0.99
October 31 2021,Whitman,WA,Passenger,63,58,121,21910,22031,0.55
November 30 2023,Columbia,WA,Passenger,12,0,12,2383,2395,0.50
December 31 2023,District of Columbia,DC,Passenger,4,0,4,133,137,2.92
June 30 2022,Columbia,OR,Passenger,1,0,1,19,20,5.00
January 31 2021,Lake,IL,Passenger,2,0,2,170,172,1.16
December 31 2017,Hawaii,HI,Passenger,1,0,1,80,81,1.23
September 30 2021,Hawaii,HI,Passenger,1,0,1,47,48,2.08
May 31 2020,Benton,WA,Truck,0,0,0,42474,42474,0.00
April 30 2020,Stafford,VA,Passenger,1,1,2,93,95,2.11
February 28 2023,James City,VA,Passenger,1,0,1,41,42,2.38
October 31 2019,Washtenaw,MI,Passenger,1,0,1,40,41,2.44
December 31 2019,Klamath,OR,Passenger,1,0,1,38,39,2.56
June 30 2023,Columbia,OR,Passenger,1,0,1,14,15,6.67
April 30 2018,Kootenai,ID,Passenger,0,1,1,226,227,0.44
March 31 2019,Ada,ID,Passenger,0,2,2,320,322,0.62
October 31 2021,Riverside,CA,Passenger,5,1,6,523,529,1.13
July 31 2021,Baltimore,MD,Passenger,1,0,1,102,103,0.97
May 31 2023,Kauai,HI,Passenger,1,1,2,14,16,12.50
March 31 2022,Richmond,NY,Passenger,1,0,1,4,5,20.00
August 31 2017,Montgomery,TX,Passenger,1,0,1,61,62,1.61
July 31 2023,Chesapeake,VA,Passenger,2,2,4,273,277,1.44
December 31 2023,James City,VA,Passenger,1,0,1,37,38,2.63
August 31 2023,Benton,WA,Passenger,1207,588,1795,134912,136707,1.31
October 31 2021,Garfield,WA,Truck,0,0,0,998,998,0.00
February 28 2019,Prince George's,MD,Passenger,1,1,2,184,186,1.08
January 31 2022,Yamhill,OR,Passenger,1,0,1,35,36,2.78
April 30 2022,Ray,MO,Passenger,0,1,1,1,2,50.00
March 31 2018,Chelan,WA,Passenger,96,41,137,53349,53486,0.26
February 28 2022,Fairfax,VA,Passenger,4,3,7,653,660,1.06
January 31 2020,Pend Oreille,WA,Truck,0,0,0,5775,5775,0.00
October 31 2019,Charleston,SC,Passenger,1,0,1,118,119,0.84
August 31 2023,Broward,FL,Passenger,1,0,1,60,61,1.64
May 31 2018,Chelan,WA,Passenger,103,49,152,53497,53649,0.28
October 31 2017,Skagit,WA,Passenger,151,126,277,88961,89238,0.31
December 31 2017,Grays Harbor,WA,Passenger,42,41,83,45820,45903,0.18
May 31 2022,Prince William,VA,Passenger,0,1,1,201,202,0.50
February 28 2023,Prince George's,MD,Passenger,3,1,4,122,126,3.17
July 31 2022,Orange,FL,Passenger,2,0,2,85,87,2.30
October 31 2019,Carson City,NV,Passenger,1,0,1,11,12,8.33
November 30 2021,Grays Harbor,WA,Passenger,191,155,346,49486,49832,0.69
June 30 2018,Walla Walla,WA,Passenger,34,43,77,35660,35737,0.22
July 31 2018,Williamson,TX,Passenger,0,1,1,164,165,0.61
June 30 2019,Flathead,MT,Passenger,1,0,1,66,67,1.49
April 30 2019,Carroll,NH,Passenger,0,1,1,2,3,33.33
December 31 2021,Champaign,IL,Passenger,1,0,1,11,12,8.33
March 31 2019,Carson City,NV,Passenger,1,0,1,14,15,6.67
February 29 2020,Lewis,WA,Passenger,108,105,213,59567,59780,0.36
June 30 2020,Williamson,TX,Passenger,0,2,2,143,145,1.38
August 31 2019,Santa Cruz,CA,Passenger,1,0,1,40,41,2.44
August 31 2022,Pulaski,AR,Passenger,1,0,1,28,29,3.45
June 30 2019,Sarasota,FL,Passenger,1,0,1,26,27,3.70
September 30 2023,Yellowstone,MT,Passenger,0,1,1,11,12,8.33
July 31 2021,Island,WA,Passenger,625,316,941,63146,64087,1.47
December 31 2018,Whatcom,WA,Passenger,757,371,1128,149420,150548,0.75
December 31 2020,Ventura,CA,Passenger,1,1,2,285,287,0.70
November 30 2018,San Mateo,CA,Passenger,2,1,3,133,136,2.21
October 31 2018,Montgomery,MD,Passenger,1,0,1,283,284,0.35
April 30 2018,Pima,AZ,Passenger,1,1,2,430,432,0.46
April 30 2023,Skagit,WA,Truck,18,0,18,31982,32000,0.06
April 30 2018,Pend Oreille,WA,Truck,0,0,0,5653,5653,0.00
October 31 2023,Clallam,WA,Truck,23,0,23,21411,21434,0.11
November 30 2022,Beaufort,SC,Passenger,1,0,1,27,28,3.57
January 31 2020,Powhatan,VA,Passenger,1,0,1,0,1,100.00
February 28 2019,Franklin,WA,Truck,0,0,0,19109,19109,0.00
April 30 2017,Tulare,CA,Passenger,1,0,1,194,195,0.51
April 30 2023,Suffolk,VA,Passenger,1,0,1,106,107,0.93
October 31 2020,Allegheny,PA,Passenger,1,0,1,75,76,1.32
August 31 2022,Hennepin,MN,Passenger,1,0,1,50,51,1.96
March 31 2023,King,WA,Truck,567,2,569,176749,177318,0.32
September 30 2022,Jefferson,WA,Truck,3,0,3,9380,9383,0.03
February 28 2023,Grays Harbor,WA,Truck,2,0,2,21053,21055,0.01
July 31 2021,Mercer,NJ,Passenger,0,1,1,13,14,7.14
November 30 2018,Cook,IL,Passenger,1,0,1,255,256,0.39
September 30 2018,DeKalb,IN,Passenger,1,0,1,1,2,50.00
June 30 2018,Douglas,WA,Passenger,43,31,74,27651,27725,0.27
November 30 2018,Ferry,WA,Truck,0,0,0,3581,3581,0.00
July 31 2019,Garfield,WA,Truck,0,0,0,959,959,0.00
October 31 2020,Garfield,WA,Truck,0,0,0,989,989,0.00
August 31 2018,Brevard,FL,Passenger,0,1,1,94,95,1.05
June 30 2022,Thurston,WA,Truck,7,0,7,55456,55463,0.01
March 31 2017,Mason,WA,Passenger,50,65,115,42925,43040,0.27
February 28 2019,Alexandria,VA,Passenger,1,0,1,154,155,0.65
June 30 2019,Clallam,WA,Truck,1,0,1,21738,21739,0.00
November 30 2020,Alexandria,VA,Passenger,2,0,2,131,133,1.50
August 31 2022,Nueces,TX,Passenger,1,1,2,51,53,3.77
November 30 2020,Broward,FL,Passenger,2,1,3,114,117,2.56
May 31 2020,Montgomery,AL,Passenger,0,1,1,38,39,2.56
April 30 2020,Rogers,OK,Passenger,1,0,1,6,7,14.29
September 30 2018,Yakima,WA,Truck,0,0,0,58686,58686,0.00
May 31 2017,Pima,AZ,Passenger,0,2,2,454,456,0.44
December 31 2019,Douglas,NE,Passenger,0,1,1,58,59,1.69
October 31 2021,Benton,WA,Truck,0,0,0,43704,43704,0.00
January 31 2020,Spokane,WA,Passenger,683,467,1150,316694,317844,0.36
December 31 2021,Duval,FL,Passenger,0,2,2,332,334,0.60
April 30 2019,Lee,FL,Passenger,1,0,1,54,55,1.82
April 30 2018,Norfolk,MA,Passenger,1,0,1,37,38,2.63
March 31 2022,Rockdale,GA,Passenger,1,0,1,6,7,14.29
March 31 2017,Allegheny,PA,Passenger,1,0,1,92,93,1.08
April 30 2019,King,WA,Passenger,18274,6871,25145,1383843,1408988,1.78
March 31 2020,Thurston,WA,Passenger,1131,727,1858,198520,200378,0.93
March 31 2019,Bergen,NJ,Passenger,1,0,1,25,26,3.85
September 30 2020,Monroe,IL,Passenger,1,0,1,2,3,33.33
May 31 2020,Asotin,WA,Truck,0,0,0,6587,6587,0.00
December 31 2023,Wahkiakum,WA,Truck,4,0,4,1709,1713,0.23
May 31 2020,Stafford,VA,Passenger,1,1,2,95,97,2.06
August 31 2018,Caddo,LA,Passenger,0,1,1,23,24,4.17
August 31 2019,Caddo,LA,Passenger,0,1,1,20,21,4.76
October 31 2020,Shelby,OH,Passenger,0,1,1,1,2,50.00
May 31 2021,Wahkiakum,WA,Passenger,13,7,20,3112,3132,0.64
March 31 2022,Benton,WA,Truck,1,0,1,43602,43603,0.00
January 31 2018,Wahkiakum,WA,Passenger,0,2,2,2844,2846,0.07
August 31 2021,Jefferson,NY,Passenger,0,1,1,213,214,0.47
May 31 2019,Ferry,WA,Truck,0,0,0,3589,3589,0.00
November 30 2022,Wilson,TX,Passenger,0,1,1,3,4,25.00
October 31 2021,Powhatan,VA,Passenger,1,0,1,1,2,50.00
October 31 2020,Nueces,TX,Passenger,1,0,1,85,86,1.16
April 30 2021,Lake,IL,Passenger,2,0,2,165,167,1.20
January 31 2018,Sacramento,CA,Passenger,1,0,1,314,315,0.32
May 31 2017,Moore,NC,Passenger,0,1,1,201,202,0.50
November 30 2020,Wahkiakum,WA,Passenger,6,6,12,3039,3051,0.39
April 30 2017,Cowlitz,WA,Passenger,52,48,100,69318,69418,0.14
May 31 2023,Grant,WA,Truck,10,0,10,28035,28045,0.04
February 28 2022,Ferry,WA,Truck,0,0,0,3566,3566,0.00
January 31 2018,Columbia,WA,Passenger,2,1,3,2401,2404,0.12
June 30 2021,Portsmouth,VA,Passenger,0,1,1,81,82,1.22
January 31 2023,Champaign,IL,Passenger,1,0,1,13,14,7.14
January 31 2022,Travis,TX,Passenger,3,0,3,136,139,2.16
December 31 2018,Dale,AL,Passenger,0,1,1,55,56,1.79
November 30 2021,Nueces,TX,Passenger,1,0,1,64,65,1.54
February 28 2022,Vigo,IN,Passenger,1,0,1,5,6,16.67
September 30 2020,Spokane,WA,Truck,1,0,1,99846,99847,0.00
August 31 2018,Skamania,WA,Passenger,14,10,24,8669,8693,0.28
August 31 2019,Tulsa,OK,Passenger,1,1,2,49,51,3.92
September 30 2018,Orange,FL,Passenger,2,1,3,167,170,1.76
June 30 2022,Northampton,PA,Passenger,1,0,1,46,47,2.13
June 30 2021,Harnett,NC,Passenger,1,1,2,175,177,1.13
November 30 2021,Maui,HI,Passenger,1,0,1,27,28,3.57
June 30 2022,King,WA,Passenger,40716,11310,52026,1348757,1400783,3.71
December 31 2022,Muscogee,GA,Passenger,0,1,1,117,118,0.85
November 30 2020,Polk,FL,Passenger,1,0,1,64,65,1.54
May 31 2018,Hamilton,TN,Passenger,1,0,1,23,24,4.17
October 31 2021,Sevier,AR,Passenger,0,1,1,0,1,100.00
November 30 2019,Clark,WA,Passenger,1806,1025,2831,317475,320306,0.88
October 31 2018,Adams,WA,Passenger,5,5,10,12717,12727,0.08
April 30 2023,Lincoln,WA,Passenger,18,17,35,7667,7702,0.45
February 28 2022,Whitman,WA,Passenger,70,56,126,21997,22123,0.57
June 30 2020,Pacific,WA,Truck,0,0,0,7698,7698,0.00
July 31 2017,Duval,FL,Passenger,1,1,2,377,379,0.53
December 31 2023,Bexar,TX,Passenger,1,3,4,312,316,1.27
September 30 2019,Denver,CO,Passenger,1,0,1,123,124,0.81
May 31 2022,Dorchester,SC,Passenger,1,0,1,62,63,1.59
April 30 2021,Skagit,WA,Passenger,562,268,830,91953,92783,0.89
January 31 2023,Ferry,WA,Truck,0,0,0,3557,3557,0.00
January 31 2017,Fairfax,VA,Passenger,3,2,5,880,885,0.56
September 30 2023,Middlesex,MA,Passenger,2,1,3,60,63,4.76
August 31 2020,Benton,WA,Passenger,379,322,701,134289,134990,0.52
August 31 2021,San Joaquin,CA,Passenger,1,0,1,106,107,0.93
March 31 2023,Polk,OR,Passenger,1,1,2,16,18,11.11
February 28 2021,Ray,MO,Passenger,0,1,1,1,2,50.00
